	(1)	(2)	(3)	(4)	(5)
VARIABLES	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount
					
group_2	1,771.43	788.16	1,854.71	1,362.81	909.11
	(1,164.55)	(1,116.13)	(1,162.93)	(1,152.14)	(1,163.64)
group_3	4,222.39***	3,455.14***	4,026.22***	3,813.16***	3,423.68***
	(1,187.64)	(1,083.14)	(1,192.58)	(1,192.69)	(1,160.44)
female		30.50			-52.87
		(1,114.73)			(1,278.30)
id_age		-45.68			-60.06
		(31.87)			(36.82)
max_primary		-1,618.17			-1,172.53
		(1,100.80)			(1,270.03)
income_hh_ppp		1.13***			1.12***
		(0.21)			(0.25)
farms_n		172.09			152.66
		(453.80)			(502.89)
land_size		8.52*			9.46*
		(4.35)			(5.06)
residence_farm		-14.25			133.92
		(1,016.38)			(1,154.32)
trust_people			451.76		271.33
			(504.13)		(533.16)
trust_townpeople			31.90		63.91
			(502.86)		(529.04)
trust_familiy			-698.31*		-117.45
			(362.11)		(348.26)
civicorg_d			-876.30		-2,310.79*
			(1,375.12)		(1,203.10)
pruductiveorg_d			2,296.90*		1,689.92
			(1,375.96)		(1,310.35)
polspace			260.53		474.25
			(535.53)		(512.55)
never_collective			544.85		861.23
			(1,101.92)		(1,121.20)
tropenbos_d				2,241.03	2,710.56
				(2,361.62)	(2,074.11)
gaia_d				2,121.81	1,966.99
				(1,621.49)	(1,620.45)
omacha_d				4,120.10	2,605.31
				(3,169.05)	(2,686.59)
dononce				1,843.47	-263.83
				(1,886.25)	(1,672.45)
donmany				3,739.38**	504.19
				(1,635.25)	(1,573.42)
Constant	6,800.00***	8,470.57***	6,685.51***	5,869.67***	6,357.69**
	(668.71)	(2,318.40)	(2,521.62)	(716.91)	(3,069.23)
					
Observations	203	203	203	203	203
R-squared	0.06	0.28	0.11	0.14	0.33
Adjusted R-squared	0.053	0.249	0.069	0.106	0.252
Socio-economics		0.000			0.000
Experience with NGOs				0.002	0.153
Trust & Involvement			0.116		0.350
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
