	(1)	(2)	(3)	(4)	(5)
VARIABLES	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount
					
group_2	540.56	601.09	1,032.90	-38.51	585.73
	(1,421.87)	(1,245.73)	(1,428.41)	(1,417.15)	(1,239.87)
group_3	3,263.29**	3,540.44***	3,436.08**	2,699.67*	3,262.03***
	(1,455.21)	(1,235.83)	(1,505.15)	(1,384.26)	(1,217.99)
female		2,060.31			2,336.82*
		(1,349.56)			(1,383.51)
id_age		-33.89			-47.07
		(37.68)			(39.10)
max_primary		-839.21			-1,009.64
		(1,261.88)			(1,332.55)
income_hh_ppp		0.96***			0.97***
		(0.15)			(0.16)
farms_n		189.20			157.26
		(388.93)			(452.77)
land_size		9.88			28.34
		(17.08)			(19.45)
residence_farm		897.23			882.74
		(1,140.93)			(1,315.92)
trust_people			239.88		411.67
			(611.22)		(565.43)
trust_townpeople			339.73		18.17
			(611.08)		(600.09)
trust_familiy			-295.46		513.46
			(484.26)		(437.95)
civicorg_d			-1,173.83		-2,131.73
			(1,431.75)		(1,319.72)
pruductiveorg_d			2,220.94		2,041.78
			(1,440.77)		(1,427.28)
polspace			-163.38		584.47
			(668.68)		(627.83)
never_collective			1,915.21		1,048.90
			(1,289.49)		(1,182.41)
tropenbos_d				1,617.38	995.91
				(1,852.44)	(1,848.49)
gaia_d				4,811.56**	4,096.76*
				(2,342.36)	(2,127.49)
omacha_d				3,641.89	4,948.37***
				(2,473.44)	(1,827.22)
dononce				-1,950.88	-2,747.40**
				(1,337.54)	(1,325.54)
donmany				3,571.75*	-560.56
				(2,031.99)	(1,460.17)
Constant	7,572.65***	6,440.70**	6,117.47*	6,927.26***	1,229.41
	(1,061.74)	(2,642.46)	(3,440.64)	(1,017.96)	(3,957.29)
					
Observations	234	234	234	234	234
R-squared	0.04	0.26	0.08	0.14	0.35
Adjusted R-squared	0.032	0.230	0.044	0.112	0.288
Socio-economics		0.000			0.000
Experience with NGOs				0.004	0.003
Trust & Involvement			0.383		0.285
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
