	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount
						
group_2	0.08	0.16	-0.11	0.03	0.01	-0.09
	(0.07)	(0.15)	(0.13)	(0.21)	(0.21)	(0.08)
group_3	0.06	-0.21	0.17	-0.14	-0.22	-0.10
	(0.07)	(0.17)	(0.14)	(0.21)	(0.20)	(0.07)
female	0.09	-0.13	-0.03	-0.25	-0.25	0.05
	(0.06)	(0.17)	(0.10)	(0.17)	(0.19)	(0.07)
id_age	0.00	-0.00	0.00	-0.01	0.02**	0.00
	(0.00)	(0.01)	(0.00)	(0.01)	(0.01)	(0.00)
max_primary	-0.06	0.20	0.19	0.53***	0.04	0.07
	(0.08)	(0.18)	(0.14)	(0.20)	(0.23)	(0.10)
income_hh_ppp	0.00	0.00	0.00	-0.00	0.00	-0.00
	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)
farms_n	-0.07*	-0.01	0.02	0.06	-0.20***	-0.02*
	(0.04)	(0.05)	(0.05)	(0.06)	(0.07)	(0.01)
land_size	0.00	-0.00	0.00	-0.00	0.00	0.00
	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)
residence_farm	0.03	-0.02	-0.00	0.16	0.38*	-0.00
	(0.08)	(0.15)	(0.12)	(0.19)	(0.20)	(0.08)
trust_people	-0.03	-0.07	0.06	0.03	-0.01	0.00
	(0.02)	(0.05)	(0.05)	(0.08)	(0.08)	(0.03)
trust_townpeople	0.03	0.08	-0.03	0.05	-0.09	-0.01
	(0.02)	(0.06)	(0.05)	(0.08)	(0.08)	(0.03)
trust_familiy	-0.00	-0.04	0.01	0.05	0.09	0.02
	(0.02)	(0.05)	(0.04)	(0.06)	(0.06)	(0.03)
civicorg_d	-0.01	-0.13	0.03	-0.02	-0.22	0.03
	(0.08)	(0.18)	(0.14)	(0.22)	(0.24)	(0.06)
pruductiveorg_d	0.07	0.07	0.01	0.18	0.03	0.01
	(0.08)	(0.17)	(0.14)	(0.20)	(0.21)	(0.06)
polspace	0.00	0.02	-0.00	-0.16*	-0.02	-0.03
	(0.03)	(0.07)	(0.05)	(0.09)	(0.09)	(0.04)
never_collective	-0.10	-0.12	-0.05	0.35*	-0.04	-0.02
	(0.08)	(0.14)	(0.13)	(0.20)	(0.19)	(0.07)
tropenbos_d	-0.07	0.17	-0.17	-0.00	-0.24	-0.08
	(0.16)	(0.24)	(0.20)	(0.45)	(0.41)	(0.07)
gaia_d	0.11	-0.07	0.09	-0.18	0.48**	-0.03
	(0.08)	(0.23)	(0.22)	(0.24)	(0.23)	(0.07)
omacha_d	-0.18	0.04	0.27	-0.05	-0.14	0.01
	(0.21)	(0.29)	(0.23)	(0.34)	(0.38)	(0.06)
dononce	0.14*	0.12	-0.19	0.07	-0.43	-0.00
	(0.08)	(0.22)	(0.18)	(0.30)	(0.26)	(0.07)
donmany	-0.05	0.02	-0.24*	-0.10	-0.35	-0.04
	(0.09)	(0.21)	(0.14)	(0.16)	(0.30)	(0.04)
Constant	3.78***	3.49***	1.02***	2.03***	1.72***	1.11***
	(0.20)	(0.44)	(0.38)	(0.61)	(0.57)	(0.24)
						
Observations	203	203	203	203	203	203
R-squared	0.12	0.09	0.10	0.21	0.24	0.07
Adjusted R-squared	0.016	-0.017	-0.005	0.117	0.150	-0.033
Socio-economics	0.362	0.918	0.661	0.001	0.000	0.352
Trust & Involvement	0.232	0.585	0.972	0.350	0.363	0.923
Experience with NGOs	0.359	0.966	0.257	0.942	0.156	0.611
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
