	(1)	(2)	(3)	(4)
VARIABLES	Donation Amount	Donation Amount	Donation Amount	Donation Amount
				
group_2	238.56	1,380.90	835.65	665.79
	(1,289.58)	(2,249.08)	(1,194.72)	(1,191.34)
group_3	3,214.92**	2,549.33	3,295.32***	2,773.21**
	(1,237.57)	(1,850.91)	(1,243.52)	(1,187.10)
female	2,805.08**	895.94	25.56	-732.95
	(1,343.12)	(1,688.48)	(1,320.56)	(1,387.98)
id_age	-73.42	-28.54	-61.00	-50.33
	(45.79)	(40.38)	(36.92)	(35.48)
max_primary	757.59	-1,507.92	-1,139.26	-1,794.31
	(1,266.48)	(1,635.83)	(1,283.10)	(1,310.46)
income_hh_ppp	1.31***	1.45***	1.11***	1.06***
	(0.36)	(0.24)	(0.25)	(0.21)
farms_n	25.06	-780.19	139.24	-21.32
	(373.89)	(574.87)	(504.96)	(425.78)
land_size	8.87	58.00**	7.96	21.37*
	(23.51)	(27.79)	(4.85)	(11.61)
residence_farm	633.74	4,510.34**	587.47	388.36
	(1,227.88)	(1,911.20)	(1,788.17)	(1,103.88)
trust_people	244.80	883.61	293.08	175.40
	(593.89)	(654.07)	(538.38)	(522.89)
trust_townpeople	366.92	-920.63	55.71	-126.22
	(551.67)	(649.50)	(532.33)	(533.30)
trust_familiy	128.44	62.21	-88.39	-508.26
	(377.89)	(505.65)	(359.15)	(422.41)
civicorg_d	-1,410.87	-2,728.69*	-2,269.07*	-1,642.81
	(1,365.90)	(1,638.03)	(1,227.53)	(1,209.31)
pruductiveorg_d	1,806.07	1,187.26	1,718.74	1,044.72
	(1,272.95)	(1,713.68)	(1,317.23)	(1,323.33)
polspace	286.58	1,380.42**	452.96	134.08
	(591.14)	(680.56)	(524.82)	(521.89)
never_collective	-628.74	70.22	1,398.53	1,318.75
	(1,092.22)	(1,354.63)	(1,918.26)	(1,139.24)
tropenbos_d	4,182.13*	2,447.81	2,624.79	2,926.19*
	(2,450.65)	(2,570.56)	(2,102.15)	(1,706.76)
gaia_d	2,348.38	1,091.37	2,011.75	1,436.27
	(1,728.57)	(2,265.36)	(1,627.31)	(1,511.64)
omacha_d	-969.01	-272.02	2,631.29	1,663.13
	(3,381.02)	(3,456.83)	(2,707.20)	(2,650.26)
dononce	-762.91	1,485.49	50.11	-1,443.97
	(1,561.33)	(2,072.12)	(1,905.45)	(1,394.97)
donmany	1,004.47	-1,327.82	737.75	-1,353.93
	(1,721.72)	(2,584.25)	(1,753.79)	(1,729.93)
matched2_pscore			2,595.24	
			(7,644.40)	
Constant	4,517.79	494.21	4,290.01	10,021.58**
	(3,220.14)	(4,406.50)	(6,747.85)	(3,898.98)
				
Observations	228	136	203	203
R-squared	0.29	0.37	0.33	0.30
Adjusted R-squared	0.22	0.25	0.25	0.22
Socio-economics	0.00	0.00	0.00	0.00
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
