	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount
						
group_2	0.09	0.27	-0.22	0.04	-0.26	-0.19
	(0.10)	(0.20)	(0.16)	(0.22)	(0.23)	(0.13)
group_3	0.07	-0.01	0.05	-0.04	-0.36*	-0.25*
	(0.12)	(0.20)	(0.18)	(0.20)	(0.21)	(0.14)
female	0.14	-0.24	-0.04	-0.33*	-0.36*	-0.06
	(0.09)	(0.23)	(0.13)	(0.19)	(0.20)	(0.12)
id_age	0.01*	0.00	-0.01	-0.01*	0.03***	-0.01
	(0.00)	(0.01)	(0.01)	(0.01)	(0.01)	(0.01)
max_primary	-0.38*	-0.12	0.74**	0.22	-0.49*	0.55*
	(0.22)	(0.30)	(0.28)	(0.25)	(0.26)	(0.29)
income_hh_ppp	0.00	0.00	-0.00	-0.00	0.00	-0.00
	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)
farms_n	-0.06	-0.02	-0.02	-0.07	-0.16**	-0.05*
	(0.04)	(0.05)	(0.05)	(0.07)	(0.06)	(0.03)
land_size	0.00	-0.00	0.00	-0.00	-0.01**	0.00
	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)
residence_farm	0.28*	0.21	-0.37*	0.09	0.44**	-0.24
	(0.15)	(0.23)	(0.20)	(0.24)	(0.22)	(0.19)
trust_people	-0.01	-0.06	0.03	-0.03	-0.03	0.01
	(0.03)	(0.06)	(0.06)	(0.09)	(0.09)	(0.03)
trust_townpeople	0.05	0.18***	-0.03	0.12	-0.07	-0.07
	(0.04)	(0.06)	(0.06)	(0.10)	(0.09)	(0.05)
trust_familiy	0.10	0.04	-0.07	0.25***	0.14*	-0.12
	(0.06)	(0.10)	(0.09)	(0.08)	(0.08)	(0.09)
civicorg_d	-0.03	-0.01	0.17	0.54*	-0.00	-0.02
	(0.10)	(0.22)	(0.19)	(0.30)	(0.26)	(0.11)
pruductiveorg_d	0.06	0.09	-0.02	0.21	-0.12	-0.07
	(0.09)	(0.17)	(0.15)	(0.24)	(0.23)	(0.09)
polspace	-0.07	-0.11	0.11	-0.18**	-0.04	0.06
	(0.06)	(0.10)	(0.08)	(0.09)	(0.10)	(0.08)
never_collective	-0.25**	-0.27	0.15	0.49**	-0.25	0.16
	(0.12)	(0.18)	(0.17)	(0.22)	(0.25)	(0.13)
tropenbos_d	0.03	0.29	-0.26	-0.41	-0.50	-0.18
	(0.15)	(0.28)	(0.26)	(0.41)	(0.33)	(0.17)
gaia_d	-0.06	-0.57	0.26	-0.21	0.33	0.11
	(0.11)	(0.39)	(0.23)	(0.26)	(0.26)	(0.13)
omacha_d	-0.00	-0.23	0.12	-0.64	-0.28	0.03
	(0.10)	(0.26)	(0.19)	(0.45)	(0.26)	(0.11)
dononce	0.11	0.30	-0.25	0.05	-0.83***	0.05
	(0.11)	(0.21)	(0.19)	(0.34)	(0.29)	(0.12)
donmany	-0.06	-0.07	-0.20	-0.21	-0.68**	-0.03
	(0.11)	(0.23)	(0.17)	(0.20)	(0.30)	(0.11)
Constant	3.12***	3.12***	1.82***	1.66***	1.77***	2.08***
	(0.49)	(0.73)	(0.66)	(0.58)	(0.64)	(0.65)
						
Observations	234	234	234	234	234	234
R-squared	0.34	0.26	0.28	0.31	0.35	0.38
Adjusted R-squared	0.276	0.188	0.207	0.241	0.291	0.315
Socio-economics	0.174	0.503	0.374	0.033	0.000	0.455
Trust & Involvement	0.449	0.109	0.814	0.006	0.279	0.832
Experience with NGOs	0.621	0.163	0.335	0.625	0.011	0.900
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
