	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Internal	Social	Money	Fines	External LoC	Amotivation
						
group_2	0.07	0.15	-0.10	0.01	0.06	-0.09
	(0.07)	(0.14)	(0.13)	(0.20)	(0.20)	(0.08)
group_3	0.05	-0.22	0.18	-0.15	-0.20	-0.10
	(0.07)	(0.16)	(0.13)	(0.20)	(0.20)	(0.07)
female	0.08	-0.12	-0.05	-0.26	-0.27	0.04
	(0.05)	(0.16)	(0.10)	(0.17)	(0.19)	(0.07)
id_age	0.00	-0.00	0.00	-0.01*	0.02***	0.00
	(0.00)	(0.01)	(0.00)	(0.01)	(0.01)	(0.00)
max_primary	-0.05	0.20	0.21	0.54***	0.10	0.07
	(0.07)	(0.17)	(0.13)	(0.19)	(0.22)	(0.10)
income_hh_ppp	0.00	0.00	-0.00	-0.00	0.00	-0.00
	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)
farms_n	-0.06	-0.01	0.02	0.06	-0.18***	-0.02*
	(0.04)	(0.04)	(0.04)	(0.06)	(0.06)	(0.01)
land_size	0.00	-0.00	0.00	-0.00	0.00	0.00
	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)
residence_farm	0.02	-0.03	-0.00	0.16	0.38*	0.00
	(0.07)	(0.15)	(0.12)	(0.18)	(0.20)	(0.08)
trust_people	-0.03	-0.07	0.06	0.02	-0.00	-0.00
	(0.02)	(0.05)	(0.05)	(0.07)	(0.08)	(0.03)
trust_townpeople	0.03	0.08	-0.03	0.05	-0.10	-0.02
	(0.02)	(0.06)	(0.05)	(0.07)	(0.08)	(0.03)
trust_familiy	0.00	-0.04	0.02	0.06	0.10	0.02
	(0.02)	(0.05)	(0.04)	(0.06)	(0.06)	(0.03)
civicorg_d	0.01	-0.10	-0.00	-0.04	-0.28	0.02
	(0.07)	(0.16)	(0.13)	(0.21)	(0.22)	(0.06)
pruductiveorg_d	0.07	0.06	0.04	0.18	0.09	0.01
	(0.07)	(0.16)	(0.13)	(0.19)	(0.21)	(0.06)
polspace	0.00	0.03	-0.01	-0.15*	-0.04	-0.03
	(0.03)	(0.07)	(0.05)	(0.09)	(0.09)	(0.04)
never_collective	-0.09	-0.14	-0.01	0.36*	0.06	-0.02
	(0.07)	(0.13)	(0.12)	(0.19)	(0.18)	(0.07)
Constant	3.78***	3.51***	0.97***	2.04***	1.56***	1.11***
	(0.20)	(0.43)	(0.36)	(0.58)	(0.54)	(0.24)
						
Observations	203	203	203	203	203	203
R-squared	0.09	0.09	0.08	0.21	0.20	0.07
Adjusted R-squared	0.007	0.006	0.000	0.137	0.136	-0.008
Socio-economics	0.438	0.908	0.399	0.000	0.000	0.226
Trust & Involvement	0.197	0.521	0.975	0.229	0.111	0.901
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
