	(1)	(2)	(3)	(4)
VARIABLES	Donation Amount	Donation Amount	Donation Amount	Donation Amount
				
group_2	996.70			
	(1,143.58)			
group_3	2,961.57**			
	(1,228.80)			
motivation1	1,493.37	1,955.14	1,013.06	-2,934.02
	(2,322.46)	(3,295.74)	(4,882.60)	(2,991.51)
motivation2	-1,937.76**	-3,271.00**	-1,899.89	660.68
	(787.65)	(1,240.10)	(2,390.59)	(1,395.27)
motivation3	-897.13	-172.03	-1,029.23	-1,039.20
	(805.95)	(1,505.14)	(5,385.52)	(1,545.92)
motivation4	-156.18	497.37	-1,275.85	189.58
	(438.86)	(862.61)	(1,405.64)	(1,240.20)
motivation5	-391.01	-607.16	-765.93	-278.70
	(474.73)	(835.76)	(1,409.93)	(947.21)
motivation6	-86.14	-1,013.78	-2,190.68	-4,261.37
	(1,347.16)	(2,141.67)	(7,990.39)	(6,213.16)
Constant	9,477.28	3,644.97	4,439.04	21,664.58
	(9,096.97)	(15,011.39)	(20,246.52)	(16,733.58)
				
Observations	203	80	56	67
R-squared	0.38	0.46	0.65	0.68
Adjusted R-squared	0.288	0.211	0.359	0.479
Motivations	0.105	0.307	0.733	0.948
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
