	(1)	(2)	(3)	(4)	(5)
VARIABLES	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount
					
primed	-707.69	1,564.72	-191.36	-126.02	1,113.11
	(1,946.31)	(1,898.65)	(2,149.39)	(1,975.21)	(2,059.65)
group_3	2,069.70	3,885.49**	1,990.30	2,328.80	2,553.53
	(1,925.24)	(1,828.06)	(2,171.87)	(1,861.89)	(2,129.60)
primed_group3	811.52	-3,139.94	-183.86	101.89	-1,826.43
	(2,785.46)	(2,573.95)	(3,046.91)	(2,808.56)	(2,891.89)
female		901.21			1,492.30
		(1,692.93)			(1,904.33)
id_age		-96.31**			-119.58**
		(47.78)			(57.39)
max_primary		-2,747.32			-1,220.31
		(1,668.36)			(1,889.35)
income_hh_ppp		1.16***			1.14**
		(0.39)			(0.43)
farms_n		759.46			992.26
		(628.74)			(601.59)
land_size		5.44			7.43
		(4.75)			(6.76)
residence_farm		-1,102.86			-1,823.65
		(1,379.50)			(1,578.10)
trust_people			975.81		688.52
			(778.20)		(813.35)
trust_townpeople			342.80		639.78
			(821.62)		(818.64)
trust_familiy			-1,150.88**		-266.40
			(545.52)		(559.46)
civicorg_d			-2,632.03		-3,895.47**
			(2,012.46)		(1,789.86)
pruductiveorg_d			3,299.53*		4,176.61**
			(1,972.81)		(1,766.80)
polspace			-281.86		228.80
			(800.75)		(795.14)
never_collective			503.35		1,924.22
			(1,707.26)		(1,598.34)
tropenbos_d				695.72	370.03
				(4,070.32)	(2,570.54)
gaia_d				2,563.38	2,532.32
				(2,178.18)	(2,005.33)
omacha_d				8,757.61***	5,993.72*
				(3,055.96)	(3,100.43)
dononce				1,070.15	-2,060.83
				(3,206.38)	(2,317.63)
donmany				2,444.32	53.92
				(2,119.53)	(1,973.25)
Constant	8,900.00***	11,405.88***	9,954.01***	7,453.23***	7,630.61
	(1,317.90)	(3,406.27)	(3,725.37)	(1,304.37)	(4,666.35)
					
Observations	123	123	123	123	123
R-squared	0.03	0.32	0.14	0.13	0.45
Adjusted R-squared	0.002	0.258	0.060	0.068	0.327
Socio-economics		0.000			0.000
Experience with NGOs				0.000	0.157
Trust & Involvement			0.028		0.043
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
